keystroke_ms,char,echo_ms,latency_ms
1770864472322.028,2,1770864472322.031,0.003
1770864472322.262,3,1770864472322.267,0.005
1770864472322.294,4,1770864472322.297,0.003
1770864472322.315,6,1770864472322.316,0.001
1770864472322.329,7,1770864472322.332,0.003
1770864472322.351,8,1770864472322.353,0.002
1770864472322.373,1,1770864472322.375,0.002
1770864472322.388,2,1770864472322.390,0.002
1770864472322.402,3,1770864472322.406,0.004
1770864472322.421,5,1770864472322.423,0.002
1770864472322.436,6,1770864472322.438,0.002
1770864472322.450,7,1770864472322.452,0.002
1770864472322.469,9,1770864472322.471,0.002
1770864472322.483,0,1770864472322.486,0.003
