pty_read_time,bytes,socket_write_time,latency_ms
1770942370379.911,201,1770942370379.921,0.010
1770942376603.640,1,1770942376603.656,0.016
1770942377200.339,1,1770942377200.364,0.025
1770942377693.302,1,1770942377693.308,0.006
1770942378186.970,1,1770942378186.996,0.026
1770942378583.243,1,1770942378583.265,0.022
1770942378894.840,1,1770942378894.864,0.024
1770942379202.980,1,1770942379203.002,0.022
1770942379560.319,1,1770942379560.340,0.021
1770942380240.954,1,1770942380240.976,0.022
1770942380544.152,1,1770942380544.178,0.026
1770942380903.418,1,1770942380903.440,0.022
1770942381199.306,1,1770942381199.325,0.019
1770942381427.671,1,1770942381427.688,0.017
1770942381866.481,1,1770942381866.504,0.023
1770942382249.871,1,1770942382249.895,0.024
1770942382577.326,1,1770942382577.348,0.022
1770942383016.719,1,1770942383016.743,0.024
1770942383321.990,1,1770942383322.015,0.025
1770942383638.487,1,1770942383638.508,0.021
1770942383928.813,1,1770942383928.838,0.025
1770942384217.118,1,1770942384217.140,0.022
1770942384472.008,1,1770942384472.030,0.022
1770942384736.648,1,1770942384736.664,0.016
1770942384981.919,1,1770942384981.940,0.021
1770942385258.563,1,1770942385258.588,0.025
1770942385479.524,1,1770942385479.540,0.016
1770942385740.084,1,1770942385740.109,0.025
1770942385984.239,1,1770942385984.263,0.024
1770942386196.937,1,1770942386196.957,0.020
1770942386453.151,1,1770942386453.172,0.021
1770942386690.392,1,1770942386690.410,0.018
1770942386956.912,1,1770942386956.932,0.020
1770942387183.415,1,1770942387183.432,0.017
1770942387430.547,1,1770942387430.572,0.025
1770942387652.697,1,1770942387652.708,0.011
1770942387873.285,1,1770942387873.305,0.020
1770942388044.943,1,1770942388044.961,0.018
1770942388231.474,1,1770942388231.491,0.017
1770942388399.914,1,1770942388399.935,0.021
1770942388628.723,1,1770942388628.737,0.014
1770942390412.524,1,1770942390412.550,0.026
1770942395092.019,1,1770942395092.041,0.022
1770942395362.673,1,1770942395362.698,0.025
1770942395577.339,1,1770942395577.365,0.026
